student_name,country,university_ranking_band,university_name,specialization,industry,company_name
Gregory L. Walker,USA,300+,,Cybersecurity,Consulting,Oliver Wyman
Julie K. Anderson,India,100-300,,Data Science,Finance,General Corp
Stephen Z. Evans,USA,100-300,,Core CS,Tech,Tesla
Ryan N. Gonzalez,Germany,100-300,,AI/ML,Consulting,Accenture
Aaron G. Campbell,USA,Top 100,,AI/ML,Healthcare,Merck
Hiroshi U. Turner,India,300+,,Data Science,Healthcare,Pfizer
David B. Ortiz,USA,300+,,Core CS,Other,Educational Institution
Susan K. Rivera,Germany,300+,,Cybersecurity,Healthcare,UnitedHealth Group
Linda K. Ward,India,100-300,,Cybersecurity,Healthcare,Novartis
Mary I. Miller,India,300+,,Cybersecurity,Manufacturing,Caterpillar
Kathleen F. Morris,Germany,300+,,AI/ML,Manufacturing,Caterpillar
William K. Miller,UK,300+,,Cloud,Other,Standard Bank
Jeffrey K. Morales,Canada,300+,,AI/ML,Healthcare,UnitedHealth Group
Jerry K. Walker,Germany,Top 100,,Core CS,Manufacturing,General Electric
Diane K. Torres,USA,Top 100,,Data Science,Tech,Adobe
Stephanie B. Murphy,UK,300+,,Cloud,Healthcare,UnitedHealth Group
Hiroshi J. Cook,Germany,300+,,AI/ML,Manufacturing,Toyota
Daniel M. Bennett,Canada,300+,,Data Science,Manufacturing,Samsung
Carol R. Nelson,India,Top 100,,Data Science,Finance,General Corp
Elizabeth M. Parker,Canada,100-300,,Cloud,Finance,General Corp
Christopher I. Ross,Canada,300+,,AI/ML,Tech,Apple
Angela W. Williams,Germany,Top 100,,AI/ML,Other,Educational Institution
Michelle Z. Walker,India,Top 100,,Data Science,Healthcare,Johnson & Johnson
Stephen C. Perez,India,100-300,,Cloud,Finance,General Corp
Ashley X. Wood,Canada,Top 100,,Cybersecurity,Healthcare,Pfizer
Carl E. Turner,Germany,Top 100,,AI/ML,Finance,General Corp
Jennifer E. Reed,India,100-300,,AI/ML,Other,Global Logistics
Anthony Y. Smith,India,100-300,,Core CS,Healthcare,Roche
Li D. King,USA,Top 100,,Data Science,Manufacturing,BMW
Dorothy Y. Garcia,Canada,300+,,Core CS,Manufacturing,Toyota
Nicole Q. Jones,UK,100-300,,Cloud,Other,Government Agency
Barbara V. Stewart,Canada,100-300,,Data Science,Tech,Amazon
Greta G. Bailey,Germany,300+,,Cybersecurity,Consulting,KPMG
Li L. Davis,India,300+,,Cloud,Manufacturing,Honda
Anthony A. Edwards,India,100-300,,Data Science,Finance,General Corp
Carl W. Reyes,USA,100-300,,Data Science,Other,Educational Institution
Robert M. Gomez,India,Top 100,,Core CS,Healthcare,UnitedHealth Group
Justin E. Kelly,India,300+,,Cybersecurity,Healthcare,Sanofi
Mark Q. Thompson,UK,Top 100,,Cybersecurity,Tech,Microsoft
Edward B. Chavez,Canada,Top 100,,Cloud,Manufacturing,Honda
Patrick G. Reed,India,100-300,,AI/ML,Consulting,McKinsey & Company
Li P. Moore,Germany,Top 100,,Core CS,Consulting,PwC
Daniel G. Brooks,UK,300+,,Core CS,Consulting,Oliver Wyman
Helen K. Gonzalez,UK,Top 100,,AI/ML,Consulting,Bain & Company
Richard V. Hill,USA,Top 100,,Core CS,Other,Educational Institution
Ananya A. Gutierrez,Germany,300+,,AI/ML,Manufacturing,Lockheed Martin
Eric P. Price,UK,100-300,,Cloud,Manufacturing,Ford
Benjamin K. Robinson,Canada,Top 100,,Data Science,Consulting,KPMG
Lisa Y. Evans,Germany,100-300,,Data Science,Healthcare,Johnson & Johnson
Michelle T. Williams,Canada,100-300,,Cybersecurity,Healthcare,Roche
John I. Mitchell,USA,300+,,Core CS,Other,Government Agency
Raymond E. Martin,USA,100-300,,Core CS,Healthcare,Pfizer
Thomas A. Castillo,India,100-300,,Core CS,Finance,General Corp
Elizabeth I. Thompson,Canada,Top 100,,Data Science,Manufacturing,BMW
Timothy X. Ortiz,Canada,300+,,Data Science,Healthcare,AstraZeneca
Nicholas F. Chavez,USA,Top 100,,Data Science,Manufacturing,Toyota
Jack C. Mendoza,Canada,100-300,,Cybersecurity,Consulting,KPMG
Li G. Wilson,Germany,100-300,,AI/ML,Manufacturing,BMW
Carl V. Allen,India,300+,,AI/ML,Consulting,McKinsey & Company
Yuki Q. Bennett,India,300+,,Core CS,Other,Retail Corp
Larry D. Jackson,Germany,Top 100,,AI/ML,Tech,IBM
Laura H. Gomez,UK,300+,,AI/ML,Manufacturing,Ford
Jacob K. Williams,Canada,Top 100,,Data Science,Finance,General Corp
Hiroshi U. Thompson,UK,100-300,,Data Science,Manufacturing,Ford
Greta O. Parker,UK,Top 100,,AI/ML,Manufacturing,Caterpillar
Carol F. Gutierrez,Canada,300+,,AI/ML,Healthcare,Merck
Melissa P. Lopez,USA,100-300,,Core CS,Tech,Meta
Li X. Sanchez,Canada,Top 100,,Cybersecurity,Healthcare,Pfizer
Deborah Y. Flores,USA,Top 100,,Data Science,Consulting,McKinsey & Company
Helen B. Flores,Germany,100-300,,Data Science,Tech,NVIDIA
Linda K. Cruz,USA,300+,,Core CS,Tech,Microsoft
Nicole F. Allen,UK,300+,,Data Science,Other,Global Logistics
Ananya E. Rodriguez,UK,100-300,,Cybersecurity,Tech,Amazon
Edward D. Stewart,UK,300+,,Core CS,Manufacturing,Ford
Nicole V. Sanchez,USA,Top 100,,Cloud,Healthcare,Merck
Patricia M. Robinson,UK,300+,,Data Science,Consulting,Capgemini
Karen H. Miller,India,100-300,,AI/ML,Manufacturing,Samsung
Raymond X. Williams,Canada,100-300,,AI/ML,Finance,General Corp
Gregory P. Davis,UK,100-300,,Core CS,Finance,General Corp
Diane G. Nelson,USA,100-300,,AI/ML,Finance,General Corp
Elizabeth Z. Cox,UK,300+,,Cloud,Healthcare,Johnson & Johnson
Linda R. Cooper,USA,300+,,Cloud,Manufacturing,General Electric
Helen O. Hall,Canada,300+,,Cloud,Tech,NVIDIA
Dennis U. Torres,USA,300+,,Cloud,Manufacturing,Samsung
Deborah L. Turner,Canada,100-300,,Core CS,Manufacturing,Lockheed Martin
Ronald P. Gutierrez,UK,Top 100,,Cybersecurity,Tech,NVIDIA
Linda M. Cook,India,300+,,Core CS,Finance,General Corp
Lisa X. Watson,UK,100-300,,Data Science,Other,Local Startup
Shirley F. Cruz,Canada,100-300,,AI/ML,Tech,IBM
Scott Q. Morales,Germany,300+,,Cloud,Finance,General Corp
Charles U. Nelson,Germany,100-300,,Data Science,Manufacturing,Lockheed Martin
Hans X. Perez,Germany,Top 100,,Data Science,Other,Standard Bank
Helen Y. Rogers,UK,100-300,,Cybersecurity,Other,Local Startup
Laura M. Nguyen,USA,100-300,,Core CS,Finance,General Corp
Gary U. Alvarez,India,100-300,,AI/ML,Tech,Intel
Dorothy M. Thomas,India,100-300,,Cloud,Consulting,McKinsey & Company
Lisa Z. Collins,UK,Top 100,,Cloud,Finance,General Corp
Amy B. Morales,Canada,100-300,,Cybersecurity,Healthcare,Mayo Clinic
Matthew Q. Bennett,UK,300+,,Cybersecurity,Manufacturing,Ford
Nicholas Z. Peterson,Germany,300+,,Cloud,Tech,IBM
Li U. Rogers,Canada,300+,,Cloud,Tech,Salesforce
Angela J. Martinez,India,100-300,,Cloud,Consulting,BCG
Hans M. Stewart,UK,100-300,,Cybersecurity,Finance,General Corp
Barbara D. Price,USA,300+,,Data Science,Manufacturing,Siemens
Helen X. Rivera,USA,100-300,,Data Science,Manufacturing,Lockheed Martin
Elizabeth C. Nguyen,India,Top 100,,Core CS,Finance,General Corp
Justin I. Morris,Canada,300+,,AI/ML,Manufacturing,Toyota
Jennifer X. Lopez,Germany,300+,,Data Science,Healthcare,Medtronic
Amy A. Johnson,USA,300+,,Cloud,Finance,General Corp
Ronald B. Richardson,USA,300+,,Cybersecurity,Healthcare,Mayo Clinic
Li O. Adams,UK,300+,,Cloud,Other,Non-Profit Org
Laura F. Brooks,India,100-300,,Cloud,Healthcare,Pfizer
Yuki Q. Long,USA,Top 100,,Cloud,Tech,Intel
Amy N. Moore,UK,300+,,AI/ML,Manufacturing,BMW
Ananya E. Reyes,Canada,100-300,,AI/ML,Manufacturing,General Electric
Anna B. Ross,USA,100-300,,Cybersecurity,Other,Non-Profit Org
Aaron U. Alvarez,India,Top 100,,AI/ML,Consulting,EY
Stephen G. Ruiz,UK,300+,,Cloud,Manufacturing,Samsung
Robert X. Harris,Canada,300+,,AI/ML,Other,Global Logistics
Nancy P. Edwards,UK,100-300,,Cybersecurity,Finance,General Corp
Deborah N. Campbell,Germany,300+,,AI/ML,Healthcare,Novartis
Linda A. Rivera,India,100-300,,Data Science,Finance,General Corp
Sarah T. Johnson,India,300+,,Cybersecurity,Manufacturing,Siemens
Laura Z. Mitchell,USA,300+,,Cloud,Finance,General Corp
Ananya Y. Bailey,UK,300+,,Data Science,Manufacturing,Toyota
Carol B. Harris,Canada,100-300,,Cloud,Consulting,Accenture
Joseph T. Flores,USA,100-300,,Core CS,Other,Government Agency
Matthew K. Lopez,India,100-300,,Cybersecurity,Consulting,BCG
Li M. Williams,UK,100-300,,AI/ML,Other,Global Logistics
Hiroshi I. Baker,Canada,300+,,Core CS,Other,Local Startup
Frank X. Price,India,300+,,Cloud,Other,Global Logistics
Eric R. Peterson,Canada,300+,,Core CS,Manufacturing,Toyota
Timothy P. Evans,UK,100-300,,Cloud,Finance,General Corp
Ryan M. Roberts,Canada,100-300,,Core CS,Healthcare,Pfizer
Julie K. Lopez,USA,Top 100,,Data Science,Manufacturing,Ford
John N. Carter,USA,Top 100,,Data Science,Consulting,Bain & Company
Tyler H. Wilson,UK,Top 100,,Cybersecurity,Other,Government Agency
Justin Q. Anderson,India,100-300,,Cybersecurity,Other,Non-Profit Org
Ananya Y. Perez,Germany,100-300,,Data Science,Tech,Google
Ryan U. Myers,Germany,Top 100,,Core CS,Manufacturing,Boeing
Jacob C. Flores,Germany,300+,,Cybersecurity,Tech,IBM
Kimberly G. Turner,India,300+,,Cybersecurity,Tech,Adobe
Karen O. Bailey,USA,100-300,,Data Science,Healthcare,Pfizer
Jerry J. Nelson,USA,100-300,,Core CS,Consulting,KPMG
Margaret F. Morgan,USA,100-300,,Cybersecurity,Other,Global Logistics
Carol F. Campbell,UK,300+,,Data Science,Manufacturing,Boeing
Raymond G. Allen,USA,100-300,,Core CS,Tech,Google
Alice B. Alvarez,USA,300+,,AI/ML,Consulting,EY
Timothy F. Smith,USA,100-300,,AI/ML,Other,Global Logistics
Patricia R. Rodriguez,Germany,300+,,AI/ML,Consulting,Deloitte
Tyler D. Ruiz,Canada,300+,,Cloud,Consulting,Bain & Company
Brenda Y. Moore,USA,100-300,,Data Science,Consulting,Bain & Company
Donna I. Gomez,Canada,300+,,Data Science,Consulting,KPMG
Dorothy N. Rogers,USA,300+,,Core CS,Consulting,Bain & Company
Betty O. Mitchell,Germany,300+,,Cloud,Finance,General Corp
Michelle W. Ortiz,Germany,100-300,,AI/ML,Finance,General Corp
Diane V. Foster,Canada,100-300,,Cybersecurity,Consulting,EY
Deborah R. Miller,Germany,300+,,Cloud,Finance,General Corp
Diane K. Patel,UK,100-300,,Data Science,Manufacturing,Siemens
Brandon V. Nguyen,India,300+,,AI/ML,Healthcare,Sanofi
Ronald U. Evans,India,100-300,,Core CS,Other,Non-Profit Org
Anthony Y. Foster,USA,Top 100,,Cybersecurity,Finance,General Corp
Hiroshi M. Garcia,Germany,100-300,,Core CS,Finance,General Corp
Brandon L. Gray,India,100-300,,AI/ML,Tech,Google
Amanda H. Gomez,Canada,300+,,Cloud,Healthcare,Roche
Shirley D. Flores,Canada,100-300,,AI/ML,Consulting,Accenture
Carl A. Anderson,Canada,100-300,,Data Science,Consulting,Oliver Wyman
Jerry E. Ortiz,USA,100-300,,Cloud,Consulting,Accenture
Helen M. Clark,India,300+,,Data Science,Manufacturing,Honda
Carl Z. Cooper,India,300+,,Cybersecurity,Tech,Intel
Jeffrey Q. Harris,India,Top 100,,Cloud,Other,Non-Profit Org
Michael B. Scott,Canada,100-300,,Cybersecurity,Healthcare,Medtronic
Kevin Q. Sanders,Canada,300+,,Core CS,Finance,General Corp
Justin Q. Edwards,USA,Top 100,,Cloud,Tech,Apple
Karen U. Johnson,UK,100-300,,AI/ML,Other,Standard Bank
Jack X. Jones,India,300+,,Cloud,Finance,General Corp
Sofia U. Moore,USA,Top 100,,Core CS,Manufacturing,Toyota
Larry V. Wilson,Canada,100-300,,Cybersecurity,Tech,IBM
Scott E. Morales,UK,100-300,,Data Science,Tech,Apple
Nicole F. Walker,Germany,300+,,AI/ML,Finance,General Corp
Aaron D. Turner,UK,100-300,,Cybersecurity,Other,Standard Bank
Stephen W. Brooks,USA,100-300,,AI/ML,Tech,Tesla
Mateo A. Perez,UK,Top 100,,AI/ML,Healthcare,UnitedHealth Group
Daniel M. White,Canada,300+,,AI/ML,Finance,General Corp
Hans B. Cox,UK,100-300,,Cybersecurity,Consulting,BCG
Christopher I. Phillips,Canada,Top 100,,Cybersecurity,Manufacturing,Honda
Barbara B. Gonzalez,UK,Top 100,,AI/ML,Finance,General Corp
Larry T. Long,USA,Top 100,,Cybersecurity,Consulting,KPMG
Christopher X. Nguyen,Germany,100-300,,Core CS,Finance,General Corp
Deborah W. Campbell,India,300+,,Cloud,Other,Retail Corp
Hans T. Chavez,UK,100-300,,AI/ML,Manufacturing,Caterpillar
Dorothy R. Sanchez,Germany,300+,,Cloud,Consulting,BCG
Carol W. Perez,UK,Top 100,,AI/ML,Finance,General Corp
David J. James,Germany,100-300,,Core CS,Finance,General Corp
Alexander S. Bailey,Canada,100-300,,Data Science,Healthcare,UnitedHealth Group
Benjamin X. Gray,Germany,100-300,,Cybersecurity,Manufacturing,Boeing
Anthony B. Wood,India,Top 100,,Data Science,Healthcare,UnitedHealth Group
Kevin F. Edwards,Germany,100-300,,Core CS,Healthcare,Johnson & Johnson
Julie M. Davis,India,100-300,,AI/ML,Consulting,EY
Li T. Cook,India,Top 100,,Data Science,Manufacturing,Ford
Stephanie R. Myers,Germany,300+,,Cybersecurity,Manufacturing,Caterpillar
Lisa M. Brown,India,Top 100,,Cloud,Healthcare,Medtronic
Anthony R. Sanders,India,300+,,Cloud,Tech,NVIDIA
Jeffrey I. Wright,Canada,300+,,Cloud,Consulting,Oliver Wyman
Sofia Q. Carter,USA,100-300,,Cybersecurity,Healthcare,Mayo Clinic
Kathleen J. Perez,Canada,300+,,Cloud,Manufacturing,Siemens
Wei A. Cox,USA,100-300,,Cloud,Healthcare,Roche
Shirley Q. Ramirez,USA,300+,,Core CS,Other,Local Startup
Angela I. Chavez,Canada,300+,,Data Science,Other,Government Agency
Amanda C. Rodriguez,India,300+,,Core CS,Finance,General Corp
Amy O. Rodriguez,Canada,Top 100,,Core CS,Manufacturing,Toyota
Nicholas W. Stewart,India,100-300,,Cybersecurity,Healthcare,Mayo Clinic
Brandon B. Wilson,Canada,300+,,Core CS,Consulting,Deloitte
Larry J. Miller,Canada,Top 100,,AI/ML,Healthcare,UnitedHealth Group
Nicholas W. Hall,UK,300+,,AI/ML,Tech,Intel
William N. Kelly,Germany,300+,,AI/ML,Healthcare,Merck
Alice M. Long,Canada,300+,,Cloud,Consulting,EY
Hans Q. Johnson,Germany,100-300,,Core CS,Other,Educational Institution
John J. Cruz,India,100-300,,Core CS,Manufacturing,Caterpillar
Benjamin J. Brooks,UK,100-300,,Cloud,Tech,Microsoft
Carol E. Young,UK,300+,,Core CS,Healthcare,Merck
Julie X. Mitchell,USA,100-300,,Cloud,Healthcare,Novartis
Alice B. Anderson,Germany,100-300,,Cybersecurity,Tech,Google
Deborah D. Allen,UK,Top 100,,Data Science,Tech,Amazon
Michelle S. Lee,India,100-300,,Cybersecurity,Manufacturing,Samsung
Stephen M. Roberts,USA,100-300,,Cloud,Tech,Apple
Angela I. Gutierrez,UK,300+,,AI/ML,Finance,General Corp
Ananya X. Ortiz,India,100-300,,AI/ML,Manufacturing,Caterpillar
Sarah E. Williams,Germany,Top 100,,AI/ML,Manufacturing,Samsung
Kimberly T. Chavez,India,100-300,,Core CS,Healthcare,Novartis
Sarah I. Evans,India,300+,,Core CS,Consulting,Accenture
Mary T. Long,India,300+,,AI/ML,Finance,General Corp
Gary U. Brooks,Canada,Top 100,,AI/ML,Consulting,Deloitte
Alexander H. Patel,UK,100-300,,Cybersecurity,Other,Government Agency
Tyler M. Hill,India,300+,,Cloud,Other,Retail Corp
Raymond V. Walker,USA,Top 100,,Core CS,Manufacturing,General Electric
Brenda L. Phillips,Canada,100-300,,Data Science,Finance,General Corp
Christopher E. Robinson,India,100-300,,Cloud,Healthcare,AstraZeneca
Ryan C. Turner,India,100-300,,AI/ML,Consulting,PwC
Christopher A. Ortiz,UK,100-300,,Cybersecurity,Healthcare,Merck
Ashley R. Campbell,Canada,300+,,Data Science,Finance,General Corp
Alexander C. Clark,India,Top 100,,Cloud,Tech,Meta
Anna B. Sanchez,India,Top 100,,Data Science,Finance,General Corp
Ronald T. Rivera,Germany,Top 100,,AI/ML,Finance,General Corp
Angela S. James,USA,100-300,,Cloud,Healthcare,Mayo Clinic
Arjun C. Gutierrez,USA,100-300,,Core CS,Healthcare,Novartis
Greta J. Ramirez,UK,Top 100,,Cybersecurity,Consulting,Oliver Wyman
Dorothy Q. Young,Canada,300+,,Core CS,Tech,Meta
William Z. Stewart,India,300+,,Data Science,Finance,General Corp
Nicole L. Robinson,Canada,100-300,,Cloud,Tech,Oracle
Kimberly X. Rodriguez,UK,100-300,,Cloud,Tech,Meta
Sandra F. Campbell,Germany,Top 100,,Core CS,Manufacturing,Boeing
Ronald J. Morris,UK,100-300,,AI/ML,Tech,Salesforce
Ronald I. Morgan,USA,100-300,,Cybersecurity,Tech,Tesla
Eric A. Taylor,Germany,300+,,Cloud,Healthcare,Johnson & Johnson
Dorothy O. Morales,India,100-300,,Data Science,Tech,Salesforce
Kimberly I. Parker,UK,300+,,AI/ML,Manufacturing,Ford
Jacob Q. Lopez,Canada,300+,,Cloud,Finance,General Corp
Richard S. Wilson,Canada,Top 100,,Cybersecurity,Tech,Salesforce
Ryan R. Wood,USA,300+,,Cloud,Consulting,Accenture
Daniel Z. Jimenez,USA,Top 100,,Core CS,Consulting,McKinsey & Company
Sarah A. Ortiz,USA,100-300,,Core CS,Tech,NVIDIA
Raymond Z. Perez,USA,100-300,,Data Science,Finance,General Corp
Helen S. Martin,India,100-300,,Core CS,Other,Local Startup
Sarah F. Rivera,Germany,300+,,Core CS,Consulting,Capgemini
Pamela N. Hernandez,USA,300+,,Core CS,Other,Standard Bank
Ryan X. Allen,UK,300+,,Data Science,Consulting,PwC
Anna Q. Murphy,India,Top 100,,Data Science,Healthcare,AstraZeneca
Sofia O. Chavez,Germany,300+,,AI/ML,Consulting,EY
Catherine K. Collins,India,300+,,Cloud,Consulting,KPMG
Brandon N. Cruz,Canada,300+,,Data Science,Tech,Salesforce
Brenda D. Foster,India,100-300,,AI/ML,Tech,Adobe
Gregory G. Hernandez,India,300+,,Cybersecurity,Finance,General Corp
Dorothy Y. Foster,Canada,Top 100,,Cloud,Finance,General Corp
Ashley P. Diaz,Canada,Top 100,,Cybersecurity,Consulting,Capgemini
Arjun F. Johnson,Canada,300+,,Cybersecurity,Finance,General Corp
Justin F. Brooks,India,100-300,,Data Science,Finance,General Corp
Ashley C. Hall,Canada,Top 100,,Data Science,Other,Retail Corp
James P. Mendoza,USA,100-300,,AI/ML,Manufacturing,General Electric
Angela Z. Wood,UK,Top 100,,Data Science,Other,Local Startup
Jacob T. Wilson,UK,100-300,,AI/ML,Healthcare,UnitedHealth Group
Michelle V. Carter,Canada,Top 100,,Data Science,Healthcare,Roche
Timothy U. Ross,Germany,Top 100,,Cybersecurity,Manufacturing,Caterpillar
Laura E. Williams,India,100-300,,Cloud,Manufacturing,Caterpillar
Edward E. King,UK,100-300,,Cloud,Finance,General Corp
Stephanie Q. Thomas,USA,100-300,,Data Science,Consulting,Accenture
Ronald C. Campbell,Germany,100-300,,Core CS,Other,Global Logistics
Amanda Y. Reyes,Germany,300+,,Core CS,Manufacturing,Samsung
William T. Ramos,USA,300+,,Cybersecurity,Finance,General Corp
Anthony I. Jimenez,India,Top 100,,Data Science,Tech,NVIDIA
Brandon V. Ross,India,100-300,,Cybersecurity,Healthcare,Mayo Clinic
Kevin T. Wright,Canada,300+,,Cloud,Other,Standard Bank
Melissa D. Ramos,USA,Top 100,,Cybersecurity,Manufacturing,Samsung
Daniel L. Clark,USA,300+,,Cloud,Manufacturing,Caterpillar
Jacob M. Adams,USA,Top 100,,Data Science,Manufacturing,Siemens
John B. Garcia,Canada,Top 100,,Cybersecurity,Healthcare,Mayo Clinic
Thomas M. Gray,UK,Top 100,,Cybersecurity,Manufacturing,BMW
Gary P. Clark,India,100-300,,Core CS,Finance,General Corp
Barbara C. Ward,Canada,100-300,,Core CS,Healthcare,Mayo Clinic
Hiroshi Y. Adams,Canada,100-300,,Cybersecurity,Healthcare,Johnson & Johnson
Nancy L. Baker,Canada,300+,,Cybersecurity,Consulting,PwC
Lisa H. Sanders,USA,100-300,,Core CS,Manufacturing,BMW
Linda E. Cook,Canada,300+,,AI/ML,Finance,General Corp
Anna Z. Allen,UK,Top 100,,Cloud,Other,Government Agency
Nancy M. Bailey,Germany,300+,,Data Science,Manufacturing,Caterpillar
Amanda F. Gutierrez,Canada,300+,,Core CS,Finance,General Corp
Pamela W. Reyes,UK,100-300,,Data Science,Tech,Adobe
Cynthia Q. Morgan,USA,100-300,,Cybersecurity,Manufacturing,Siemens
Dorothy J. Martinez,Germany,Top 100,,Data Science,Healthcare,Merck
James G. Cook,India,Top 100,,Cybersecurity,Consulting,McKinsey & Company
Sandra Q. Mitchell,India,300+,,Cybersecurity,Manufacturing,Ford
Greta P. Kelly,USA,300+,,Cybersecurity,Healthcare,Novartis
Justin X. Hernandez,USA,300+,,AI/ML,Healthcare,Mayo Clinic
Catherine X. Wood,India,100-300,,Core CS,Consulting,KPMG
Daniel U. Garcia,USA,100-300,,Cloud,Tech,Salesforce
James F. Diaz,India,100-300,,Data Science,Tech,Amazon
Scott Z. Jones,USA,Top 100,,Cloud,Healthcare,AstraZeneca
Brian E. Cruz,India,100-300,,Core CS,Tech,Tesla
Arjun H. Nguyen,UK,100-300,,Core CS,Manufacturing,Siemens
Rebecca P. Sanchez,USA,300+,,Data Science,Finance,General Corp
Ananya Q. Ross,India,Top 100,,AI/ML,Tech,Meta
Nancy Z. Cook,USA,100-300,,Cloud,Finance,General Corp
Brian M. Martinez,India,100-300,,AI/ML,Finance,General Corp
Kathleen M. Rivera,India,100-300,,Cybersecurity,Healthcare,AstraZeneca
Jack Q. Turner,Germany,100-300,,Cybersecurity,Tech,Oracle
Shirley Q. King,USA,Top 100,,Cybersecurity,Finance,General Corp
Amanda C. Castillo,UK,100-300,,Core CS,Tech,Tesla
Matthew E. Wright,Canada,100-300,,AI/ML,Healthcare,Johnson & Johnson
Patrick W. Ortiz,Canada,100-300,,Core CS,Manufacturing,Lockheed Martin
Patricia I. James,USA,Top 100,,AI/ML,Healthcare,Sanofi
Jerry B. Kim,India,100-300,,Data Science,Finance,General Corp
Mateo H. Bennett,India,300+,,Core CS,Healthcare,UnitedHealth Group
Michelle U. Foster,UK,100-300,,Cybersecurity,Tech,IBM
Mary V. Phillips,USA,100-300,,Cybersecurity,Manufacturing,General Electric
Mark K. Taylor,Canada,100-300,,Core CS,Manufacturing,Honda
Joseph N. Sanchez,UK,100-300,,Cloud,Manufacturing,Samsung
Karen Z. Richardson,USA,100-300,,Data Science,Manufacturing,Caterpillar
Patricia T. Young,USA,100-300,,Cybersecurity,Other,Global Logistics
Karen J. Gutierrez,USA,300+,,Data Science,Other,Global Logistics
Kimberly V. Gray,Germany,100-300,,Cloud,Manufacturing,Toyota
Jack F. Morgan,UK,300+,,Core CS,Other,Non-Profit Org
Rebecca Z. Johnson,USA,300+,,Data Science,Consulting,Oliver Wyman
Stephanie L. Ortiz,UK,100-300,,AI/ML,Healthcare,Novartis
Shirley D. Alvarez,Canada,300+,,AI/ML,Tech,Apple
Brian F. Clark,USA,300+,,Cloud,Manufacturing,Honda
Karen R. Hill,India,100-300,,AI/ML,Finance,General Corp
Edward F. Martinez,USA,100-300,,Cybersecurity,Consulting,Oliver Wyman
Jason X. Jones,USA,300+,,AI/ML,Manufacturing,Boeing
Jacob T. Robinson,UK,300+,,Cybersecurity,Healthcare,Merck
Christopher Y. Cox,UK,300+,,Cybersecurity,Finance,General Corp
Anthony T. Parker,Germany,300+,,Cybersecurity,Other,Local Startup
Rebecca R. Moore,USA,300+,,Cybersecurity,Manufacturing,Samsung
Alice M. Rodriguez,Canada,300+,,AI/ML,Finance,General Corp
Sarah U. Alvarez,UK,100-300,,Cloud,Healthcare,Sanofi
Brenda W. Mitchell,Germany,300+,,Cybersecurity,Consulting,Oliver Wyman
Mateo T. Kelly,India,300+,,Cloud,Manufacturing,Honda
Nicole M. Smith,India,100-300,,Cloud,Other,Standard Bank
Anna C. Johnson,Germany,300+,,Core CS,Manufacturing,BMW
Angela B. Robinson,India,100-300,,Cloud,Tech,Intel
Elizabeth E. Reyes,USA,Top 100,,Data Science,Healthcare,Johnson & Johnson
Larry X. Rogers,UK,100-300,,Cybersecurity,Tech,Salesforce
Kathleen U. Clark,Canada,Top 100,,Cloud,Consulting,Bain & Company
Elizabeth K. Baker,India,Top 100,,Core CS,Other,Global Logistics
Shirley F. Brooks,USA,Top 100,,Core CS,Other,Local Startup
Brandon D. Garcia,UK,100-300,,Data Science,Tech,Salesforce
Nicole M. Hill,USA,300+,,Core CS,Tech,Tesla
Michael V. Evans,USA,Top 100,,Cybersecurity,Manufacturing,Boeing
Jennifer Q. Garcia,UK,100-300,,Core CS,Finance,General Corp
Charles Q. Rogers,India,300+,,Data Science,Tech,Google
Christopher G. Stewart,India,300+,,Cybersecurity,Manufacturing,Toyota
Kathleen I. Lopez,USA,300+,,AI/ML,Finance,General Corp
Larry P. Rivera,Germany,Top 100,,Cybersecurity,Other,Retail Corp
Frank V. Miller,India,300+,,Cloud,Tech,Intel
Catherine Y. Bailey,USA,100-300,,AI/ML,Tech,Tesla
Linda V. Price,Canada,300+,,Cloud,Tech,Amazon
Nicole J. Thompson,Canada,100-300,,Cloud,Other,Educational Institution
Elizabeth Q. Kelly,Germany,300+,,Cloud,Healthcare,AstraZeneca
Shirley O. Torres,USA,100-300,,Data Science,Tech,Microsoft
Hiroshi G. Lewis,Canada,300+,,Data Science,Tech,Apple
Pamela P. Alvarez,India,Top 100,,Cybersecurity,Other,Standard Bank
Jeffrey N. Cox,USA,Top 100,,Data Science,Healthcare,Merck
Brenda K. Evans,Germany,300+,,Core CS,Healthcare,AstraZeneca
Anthony A. Hughes,Germany,300+,,Core CS,Consulting,EY
Ronald L. Wood,India,Top 100,,Cloud,Manufacturing,Caterpillar
Jonathan D. Ramos,Canada,Top 100,,Cybersecurity,Finance,General Corp
Alexander E. Flores,Canada,100-300,,Core CS,Finance,General Corp
Emma U. Cox,Germany,100-300,,AI/ML,Manufacturing,Siemens
John Q. Moore,UK,Top 100,,Data Science,Tech,Apple
Donna G. Torres,Germany,300+,,Cloud,Finance,General Corp
Richard U. Sanchez,Germany,100-300,,Data Science,Other,Retail Corp
Elizabeth L. Thomas,USA,300+,,Cybersecurity,Finance,General Corp
Jonathan D. Thomas,India,100-300,,Cloud,Healthcare,Mayo Clinic
Linda B. Bailey,USA,Top 100,,Cloud,Consulting,KPMG
Larry E. Mendoza,Germany,300+,,Data Science,Consulting,Deloitte
Matthew Z. Hughes,USA,Top 100,,Cloud,Other,Global Logistics
Emma W. Evans,Canada,100-300,,Cloud,Consulting,EY
Linda H. Wilson,Germany,100-300,,AI/ML,Healthcare,AstraZeneca
